ID,Sampling day,Season,Species code,Incub. Container,Vol. pre-filtered water (L),# indiv.,Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Incub. Temperature,Group dry mass (g),Ind. wet.dry mass (g),Ind. dry mass (g),Notes,SRP (ug/L),P excretion (ug),P excretion rate (ug/h/ind),NH4 (ug/L),N excretion (ug),N excretion rate (ug/h/ind),TDP (ug/L),P excretion 2 (ug),P excretion rate 2 (ug/h/ind),TDN (ug/L),N excretion 2 (ug),N excretion rate 2 (ug/h/ind),%C tissue,%N tissue,%P tissue,C:N,C:P,N:P,d13C,d15N,pH,Specfic Conductance ( µS),Conductivity ( µS),TDP (ug/L),TDN (ug/L),NO3 (ug/L),Chlorophyll-a (ug/L),K (ug/L),Ca (ug/L),V (ug/L),Mn (ug/L),Fe (ug/L),Cu (ug/L),Zn (ug/L),Sr (ug/L),Mo (ug/L),Ba (ug/L),DOC (mg/L),A254,A280,A350,A440,S275to295,S350to400,SR,BA,FI,HIX,HIX.ohno,PeakA,PeakB,PeakC,PeakD,PeakE,PeakM,PeakN,PeakP,PeakT,C1,C2,C3,C4,C5,C6,C7,C.SUM,C1.PER,C2.PER,C3.PER,C4.PER,C5.PER,C6.PER,C7.PER
100,SD1,S,WP,4L WP,3,1,20.10,20.40,30,26.7,NA,190,47.5,± 5g for the weight due to the wind,133.35915,375.795105,751.59021,552.551,1585.91565,3171.8313,185.899164,532.2383393,1064.476679,1284.544587,3268.929975,6537.85995,,,NA,,NA,NA,-23.46392457,13.6533783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,SD1,S,WP,4L WP,3,1,20.15,20.45,30,26.7,NA,150,37.5,± 5g for the weight due to the wind,68.97756,182.650335,365.30067,422.564,1195.95465,2391.9093,97.6844745,267.5942708,535.1885415,1026.447926,2494.639993,4989.279986,,,NA,4.954766002,NA,NA,-23.57995314,13.2516865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,SD1,S,WP,4L WP,3,1,20.17,20.48,31,26.7,NA,166,41.5,± 5g for the weight due to the wind. Fish upside down after incubation,52.46946,133.126035,257.6632935,403.9194,1140.02085,2206.491968,90.181491,245.0853203,474.3586844,827.112088,1896.632479,3670.901573,,,NA,,NA,NA,-24.82197815,13.55605458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,SD1,S,WP,4L WP,3,1,20.18,20.49,31,26.7,NA,104,26,± 5g for the weight due to the wind,80.92628,218.496495,422.8964419,357.1766,999.79245,1935.082161,100.816788,276.9912113,536.1120218,613.795509,1256.682742,2432.289179,,,NA,4.749969539,NA,NA,-24.04874522,12.74130587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,SD1,S,WP,4L WP,2,1,20.20,20.51,31,26.7,NA,90,22.5,± 5g for the weight due to the wind,123.29707,230.40591,445.9469226,422.3014,796.7779,1542.150774,129.8817435,242.7907185,469.9175197,772.2917531,1154.780983,2235.059967,,,NA,3.291802308,NA,NA,-23.19993806,13.32790164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,SD1,S,WP,4L WP,2,1,20.22,20.52,30,26.7,NA,57,14.25,± 5g for the weight due to the wind,93.11083,170.03343,340.06686,356.3888,664.9527,1329.9054,104.3861685,191.7995685,383.599137,608.9623494,828.1221756,1656.244351,,,NA,3.473640973,NA,NA,-23.75030165,12.46836497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,SD2,S,YB,4L WP,5,1,10.20,10.42,22,26,NA,636,159,± 5g for the weight due to the wind,112.76333,523.346075,1427.307477,590.8906,2834.89075,7731.520227,129.0076095,602.6061263,1643.471253,1292.19972,5486.492291,14963.16079,,,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,SD2,S,GF,4L WP,5,1,10.22,10.43,21,26,NA,605,151.25,± 5g for the weight due to the wind,72.75084,323.283625,923.6675,761.5806,3688.34075,10538.11643,108.246927,498.8027138,1425.150611,1304.536919,5548.178285,15851.93796,,,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,SD2,S,GF,4L WP,5,1,10.23,10.44,21,26,NA,927,231.75,± 5g for the weight due to the wind,194.91078,934.083325,2668.8095,711.6866,3438.87075,9825.345,479.4571215,2354.853686,6728.153389,2634.004761,12195.5175,34844.3357,,,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,SD2,S,GF,4L WP,5,1,10.26,10.46,20,26,NA,633,158.25,± 5g for the weight due to the wind,100.10712,460.065025,1380.195075,659.1666,3176.27075,9528.81225,145.106244,683.0992988,2049.297896,1132.708597,4689.036679,14067.11004,,,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
