Year,n.b.total,n.b.spring,n.b.autumn,biomass.spring.kg.ha,biomass.autumn.kg.ha,biomass.kg.ha,biomass.g.m2,biomass.kg.ha.sd,biomass.g.m2.sd,Source
2013,,41,41,156.5,117.6,137.05,,104.2913467,,Fish
2014,,41,41,97.8,89,93.4,,72.9633127,,Fish
2015,,41,41,61.7,43.3,52.5,,42.82201537,,Fish
2016,,41,41,51.9,36.9,44.4,,34.42237644,,Fish
2017,,36,41,47.8,22.8,35.3,,28.59948717,,Fish
2018,,,41,,44.3,44.3,,25.93878395,,Fish
2019,,41,41,65,48,56.5,,54.18306931,,Fish
2020,,,26,,49.4,49.4,,59.84789748,,Fish
2011,18,,,,,,410.5263158,,164.0890239,Dreissenid
2014,22,,,,,,242.1052632,,444.3551772,Dreissenid
2019,27,,,,,,48.27164686,,179.0216693,Dreissenid
