Species code,Year,Biomass_lakewide (kg/ha),Biomass_WB (kg/ha)
GS,2016,0.294811545,0.515704874
GS,2017,1.83438233,4.574754568
GS,2018,0.299537,2.120170837
GS,2019,0.245273,0.513024099
GS,2020,1.53482292,2.493921409
GS,2021,0.69021068,0.854903217
LP,2016,0.000698867,0.014843695
LP,2017,0.00063415,0.013469181
LP,2018,4.06E-05,0.000861926
LP,2019,0.000342,0.007261448
LP,2020,0.00014584,0.003097591
LP,2021,0.000663316,0.014088623
RG,2016,0.153173815,0.100803244
RG,2017,0.17322141,0.053227803
RG,2018,0.124649,0.030795511
RG,2019,0.238809,0.054198746
RG,2020,0.114981425,0.04945903
RG,2021,0.161412132,0.185390028
WP,2016,2.996244756,12.97573342
WP,2017,4.04980329,10.91386782
WP,2018,3.928868,11.43761403
WP,2019,2.450408,7.585304514
WP,2020,3.999687901,3.913928674
WP,2021,4.138451169,24.03611418
YP,2016,6.382081157,46.04853412
YP,2017,5.30305008,46.7322868
YP,2018,2.590237,35.54488
YP,2019,1.112557,29.33484
YP,2020,1.852794344,91.38644613
YP,2021,10.3817766,52.64681847
