Total phosphorus (TP) and soluable reactive phorphorus (SRP) loading estimates in metric tonnes per annum (MTA) to Lake Erie by tributary (Canada only),,,,,,
Estimations de la charge en phosphore total (PT) et en phosphore réactif soluble (PRS) total en tonnes métriques par année (TM/A) dans le lac Érié par affluent (Canada seulement),,,,,,
Notes: ,,,,,,
FWMC: Flow Weighted Mean Concentration (based on monitored load),,,,,,
CMPFD : concentration moyenne pondérée en fonction du débit (compte tenu de la charge surveillée),,,,,,
Spring total phosphorus loads for the Thames River only are at the bottom of this page,,,,,,
Les charges printanières de phosphore total pour la rivière Thames seulement se trouvent au bas de cette page.,,,,,,
,,,,,,
Tributary/Affluent,Parameter/paramètre,Water Year/année hydrologique,Monitored Load (MTA)/charge surveillée (TM/A),Unmonitored Load (MTA)/charge non surveillée (TM/A),Total Load/charge totale,FWMC (mg/L)/CMPFD
Big,SRP/PRS,2008,3.55,1.177,4.854,0.02057
Big,TP/PT,2008,31.988,10.606,42.776,0.18123
Big,SRP/PRS,2009,2.336,0.775,3.275,0.01075
Big,TP/PT,2009,16.06,5.325,21.619,0.07097
Big,SRP/PRS,2010,2.409,0.799,3.392,0.01805
Big,TP/PT,2010,8.14,2.699,11.101,0.05909
Big,SRP/PRS,2011,5.658,1.876,7.684,0.03007
Big,TP/PT,2011,14.381,4.768,19.363,0.07577
Big,SRP/PRS,2012,2.416,0.801,3.494,0.016
Big,TP/PT,2012,12.993,4.308,17.696,0.08105
Big,SRP/PRS,2013,2.446,0.811,3.405,0.01366
Big,TP/PT,2013,15.658,5.192,21.061,0.08451
Big,SRP/PRS,2014,6.789,2.251,9.217,0.02592
Big,TP/PT,2014,14.6,4.841,19.694,0.05538
Big,SRP/PRS,2015,2.956,0.98,4.091,0.01468
Big,TP/PT,2015,9.088,3.013,12.322,0.04423
Big,SRP/PRS,2016,2.159,0.716,2.979,0.01302
Big,TP/PT,2016,8.125,2.694,10.967,0.04794
Big,SRP/PRS,2017,3.285,1.089,4.505,0.02126
Big,TP/PT,2017,9.125,3.026,12.339,0.05821
Big,SRP/PRS,2018,2.738,0.908,3.787,0.01653
Big,TP/PT,2018,10.11,3.352,13.663,0.05963
Big,SRP/PRS,2019,4.526,1.501,6.168,0.02115
Big,TP/PT,2019,22.302,7.395,29.898,0.10255
Big,TP/PT,2020,12.028,3.988,16.204,0.06446
Big,TP/PT,2021,6.968,2.31,9.278,0.10757
Big Otter,SRP/PRS,2008,15.372,1.13,16.502,0.0542
Big Otter,TP/PT,2008,64.343,4.737,69.08,0.22689
Big Otter,SRP/PRS,2009,31.828,2.339,34.248,0.08477
Big Otter,TP/PT,2009,66.686,4.905,71.706,0.17749
Big Otter,SRP/PRS,2010,3.03,0.216,3.306,0.01786
Big Otter,TP/PT,2010,17.447,1.275,18.808,0.10159
Big Otter,SRP/PRS,2011,19.053,1.399,20.506,0.06125
Big Otter,TP/PT,2011,100.594,7.405,108.076,0.32282
Big Otter,SRP/PRS,2012,10.211,0.748,10.991,0.04008
Big Otter,TP/PT,2012,59.695,4.392,64.133,0.23386
Big Otter,SRP/PRS,2013,10.22,0.748,11.025,0.0348
Big Otter,TP/PT,2013,72.672,5.348,78.102,0.24653
Big Otter,SRP/PRS,2014,18.944,1.391,20.398,0.05762
Big Otter,TP/PT,2014,76.504,5.63,82.224,0.23228
Big Otter,SRP/PRS,2015,14.272,1.048,15.385,0.06205
Big Otter,TP/PT,2015,46.72,3.438,50.251,0.20265
Big Otter,SRP/PRS,2016,4.136,0.299,4.486,0.02135
Big Otter,TP/PT,2016,14.237,1.041,15.35,0.07306
Big Otter,SRP/PRS,2017,10.11,0.74,10.906,0.03991
Big Otter,TP/PT,2017,60.59,4.458,65.128,0.23831
Big Otter,SRP/PRS,2018,9.016,0.659,9.73,0.03128
Big Otter,TP/PT,2018,66.978,4.928,71.985,0.23139
Big Otter,SRP/PRS,2019,16.06,1.178,17.293,0.04625
Big Otter,TP/PT,2019,117.493,8.65,126.222,0.33759
Big Otter,TP/PT,2020,53.395,3.928,57.398,0.20185
Big Otter,TP/PT,2021,26.592,2.31,28.902,0.08269
Canard,SRP/PRS,2008,3.44,3.958,7.398,0.1051
Canard,TP/PT,2008,10.797,12.462,23.259,0.33042
Canard,SRP/PRS,2009,7.263,8.369,15.632,0.20977
Canard,TP/PT,2009,22.228,25.672,47.9,0.64278
Canard,SRP/PRS,2010,1.204,1.353,2.557,0.06718
Canard,TP/PT,2010,11.936,13.756,25.692,0.67497
Canard,SRP/PRS,2011,,,,
Canard,TP/PT,2011,37.96,43.841,81.801,0.80958
Canard,SRP/PRS,2012,,,,
Canard,TP/PT,2012,16.141,18.626,34.767,0.49771
Canard,SRP/PRS,2013,,,,
Canard,TP/PT,2013,11.461,13.207,24.668,0.54245
Canard,SRP/PRS,2014,,,,
Canard,TP/PT,2014,8.322,9.599,17.921,0.30767
Canard,SRP/PRS,2015,,,,
Canard,TP/PT,2015,7.811,9.01,16.821,0.33316
