stream,parameter,water_year,load,Unmonitored Load (MTA)/charge non surveillée (TM/A),Total Load/charge totale,FWMC (mg/L)/CMPFD
Big,TP/PT,2011,14.381,4.768,19.363,0.07577
Big,TP/PT,2012,12.993,4.308,17.696,0.08105
Big,TP/PT,2013,15.658,5.192,21.061,0.08451
Big,TP/PT,2014,14.6,4.841,19.694,0.05538
Big,TP/PT,2015,9.088,3.013,12.322,0.04423
Big,TP/PT,2016,8.125,2.694,10.967,0.04794
Big,TP/PT,2017,9.125,3.026,12.339,0.05821
Big,TP/PT,2018,10.11,3.352,13.663,0.05963
Big,TP/PT,2019,22.302,7.395,29.898,0.10255
Big,TP/PT,2020,12.028,3.988,16.204,0.06446
Big Otter,TP/PT,2011,100.594,7.405,108.076,0.32282
Big Otter,TP/PT,2012,59.695,4.392,64.133,0.23386
Big Otter,TP/PT,2013,72.672,5.348,78.102,0.24653
Big Otter,TP/PT,2014,76.504,5.63,82.224,0.23228
Big Otter,TP/PT,2015,46.72,3.438,50.251,0.20265
Big Otter,TP/PT,2016,14.237,1.041,15.35,0.07306
Big Otter,TP/PT,2017,60.59,4.458,65.128,0.23831
Big Otter,TP/PT,2018,66.978,4.928,71.985,0.23139
Big Otter,TP/PT,2019,117.493,8.65,126.222,0.33759
Big Otter,TP/PT,2020,53.395,3.928,57.398,0.20185
Canard,TP/PT,2011,37.96,43.841,81.801,0.80958
Canard,TP/PT,2012,16.141,18.626,34.767,0.49771
Canard,TP/PT,2013,11.461,13.207,24.668,0.54245
Canard,TP/PT,2014,8.322,9.599,17.921,0.30767
Canard,TP/PT,2015,7.811,9.01,16.821,0.33316
Canard,TP/PT,2016,11.163,12.9,24.063,0.53102
Canard,TP/PT,2017,9.964,11.486,21.45,0.3242
Canard,TP/PT,2018,29.492,34.088,63.58,0.78295
Canard,TP/PT,2019,40.332,46.633,86.965,1.06844
Canard,TP/PT,2020,23.159,26.754,49.913,0.78347
Grand-ON,TP/PT,2011,503.773,54.487,559.091,0.20181
Grand-ON,TP/PT,2012,188.344,17.841,207.034,0.11708
Grand-ON,TP/PT,2013,303.534,31.454,336.007,0.12194
Grand-ON,TP/PT,2014,682.368,74.525,757.321,0.1845
Grand-ON,TP/PT,2015,230.242,22.967,253.607,0.11018
