Total Phosphorus (TP) annual atmospheric loads in metric tonnes per annum (MTA) to each basin in Lake Erie ,,,,,
Charges atmosphériques annuelles en phosphore total (PT) en tonnes métriques par année (TM/A) dans chaque bassin du lac Érié,,,,,
,,,,,
Year/Année,Charge dans le corridor Huron-Érié Corridor Load (MTA_TM/A),Western Load (MTA)/Charge dans le bassin ouest (TM/A),Central Load (MTA)/Charge dans le bassin central (TM/A),Eastern Load (MTA)/Charge dans le bassin est (TM/A),Total Lake Load (MTA)/Charge totale du lac (TM/A)
2008,26,56,233,93,408
2009,48,104,437,175,764
2010,23,50,210,84,368
2011,35,76,317,127,555
2012,22,48,200,80,350
2013,33,71,295,118,517
2014,22,48,202,81,354
2015,21,46,193,77,338
2016,23,49,204,82,357
2017,35,75,313,125,547
2018,34,73,305,122,533
2019,20,44,185,74,323
2020,25,54,227,91,398
2021,27,59,247,99,432
,,,,,
Notes:,,,,,
"Data last updated July 7, 2022",,,,,
Data from 2008 to present is based on methods from the Erie Loading Tool Version 1.4 ,,,,,
Data is calculated per water year (October 1 - September 30),,,,,
,,,,,
Dernière mise à jour des données le 7 juillet 2022,,,,,
Les données de 2008 à aujourd'hui sont basées sur les méthodes de la version 1.4 de l'outil d’évaluation de charge pour le lac Érié,,,,,
Les données sont calculées par année hydrologique (du 1er octobre au 30 septembre),,,,,
