SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,0,,,5896,%,0.00003-0.00006 MM,0.00003-0.00006 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,0,,,5897,%,0.00006-0.00012 MM,0.00006-0.00012 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,0.05,,,5898,%,0.00012-0.00024 MM,0.00012-0.00024 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,0.8,,,5899,%,0.00024-0.0005 MM,0.00024-0.0005 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,0.7,,,5900,%,0.0005-0.001 MM,0.0005-0.001 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,1.8,,,5901,%,0.001-0.002 MM,0.001-0.002 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,2.5,,,5902,%,0.002-0.004 MM,0.002-0.004 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,2.9,,,5903,%,0.004-0.008 MM,0.004-0.008 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,2.9,,,5904,%,0.008-0.016 MM,0.008-0.016 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,2.3,,,5905,%,0.016-0.031 MM,0.016-0.031 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,4.6,,,5906,%,0.031-0.062 MM,0.031-0.062 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,12.2,,,5907,%,0.062-0.125 MM,0.062-0.125 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,45.2,,,5908,%,0.125-0.250 MM,0.125-0.250 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,23,,,5909,%,0.250-0.500 MM,0.250-0.500 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,1.1,,,5910,%,0.500-1.000 MM,0.500-1.000 MM,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.102,,0.1,6874,NG/G DWT,"1,2,3,4-TETRACHLORO-5-(2-CHLOROPHENYL)BENZENE/1,2,4-TRICHLORO-5-(2,3-DICHLOROPHENYL)BENZENE (PCB 86/97)","1,2,3,4-TÉTRACHLORO-5-(2-CHLOROPHÉNYL)BENZÈNE/1,2,4-TRICHLORO-5-(2,3-DICHLOROPHÉNYL)BENZÈNE (BPC 86/97)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0508,,0.1,6936,NG/G DWT,"1,2,3,4-TETRACHLORO-5-(3,5-DICHLOROPHENYL)BENZENE (PCB 159)","1,2,3,4-TÉTRACHLORO-5-(3,5-DICHLOROPHÉNYL)BENZÈNE (BPC 159)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0882,,0.1,6854,NG/G DWT,"1,2,3-TRICHLORO-4-(3-CHLOROPHENYL)BENZENE (PCB 55)","1,2,3-TRICHLORO-4-(3-CHLOROPHÉNYL)BENZÈNE (BPC 55)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0854,,0.1,6971,NG/G DWT,"1,2,4,5-TETRACHLORO-3-(2,3,5,6-TETRACHLOROPHENYL)BENZENE (PCB 202)","1,2,4,5-TÉTRACHLORO-3-(2,3,5,6-TÉTRACHLOROPHÉNYL)BENZÈNE (BPC 202)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0442,,0.1,6872,NG/G DWT,"1,2,4-TRICHLORO-3-(2,3-DICHLOROPHENYL)BENZENE (PCB 84)","1,2,4-TRICHLORO-3-(2,3-DICHLOROPHÉNYL)BENZÈNE (BPC 84)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0442,,0.1,6879,NG/G DWT,"1,2,5-TRICHLORO-3-(2,5-DICHLOROPHENYL)BENZENE (PCB 92)","1,2,5-TRICHLORO-3-(2,5-DICHLOROPHÉNYL)BENZÈNE (BPC 92)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0855,,0.1,6860,NG/G DWT,"1,2,5-TRICHLORO-3-(4-CHLOROPHENYL)BENZENE (PCB 63)","1,2,5-TRICHLORO-3-(4-CHLOROPHÉNYL)BENZÈNE (BPC 63)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0546,,0.1,6838,NG/G DWT,"1,2-DICHLORO-4-(4-CHLOROPHENYL)BENZENE (PCB 37)","1,2-DICHLORO-4-(4-CHLOROPHÉNYL)BENZÈNE (BPC 37)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0466,,0.5,6819,NG/G DWT,"1,2-DICHLORO-4-PHENYLBENZENE/1-CHLORO-4-(3-CHLOROPHENYL)BENZENE (PCB 12/13)","1,2-DICHLORO-4-PHÉNYLBENZÈNE/1-CHLORO-4-(3-CHLOROPHÉNYL)BENZÈNE (BPC 12/13)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0398,,0.1,6885,NG/G DWT,"1,3,5-TRICHLORO-2-(2,4-DICHLOROPHENYL)BENZENE (PCB 100)","1,3,5-TRICHLORO-2-(2,4-DICHLOROPHÉNYL)BENZÈNE (BPC 100)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.126,,0.1,6852,NG/G DWT,"1,4-DICHLORO-2-(2,6-DICHLOROPHENYL)BENZENE (PCB 53)","1,4-DICHLORO-2-(2,6-DICHLOROPHÉNYL)BENZÈNE (BPC 53)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0824,,0.5,6814,NG/G DWT,"1-CHLORO-2-(2-CHLOROPHENYL)BENZENE/1,3-DICHLORO-2-PHENYLBENZENE (PCB 4/10)","1-CHLORO-2-(2-CHLOROPHÉNYL)BENZÈNE/1,3-DICHLORO-2-PHÉNYLBENZÈNE (BPC 4/10)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0466,,0.5,6816,NG/G DWT,1-CHLORO-3-(2-CHLOROPHENYL)BENZENE (PCB 6),1-CHLORO-3-(2-CHLOROPHÉNYL)BENZÈNE (BPC 6),P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0466,,0.5,6815,NG/G DWT,"1-CHLORO-4-(2-CHLOROPHENYL)BENZENE/1,2-DICHLORO-3-PHENYLBENZENE (PCB 8/5)","1-CHLORO-4-(2-CHLOROPHÉNYL)BENZÈNE/1,2-DICHLORO-3-PHÉNYLBENZÈNE (BPC 8/5)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,1.5,,1,1541,NG/G,1-METHYLPHENANTHRENE,1-MÉTHYLPHÉNANTHRÈNE,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.166,,0.1,6974,NG/G DWT,"2,2',3,3',4,4',5,5',6-NONACHLOROBIPHENYL (PCB 206)","2,2',3,3',4,4',5,5',6-NONACHLOROBIPHÉNYLE (BPC 206)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.113,,0.1,6963,NG/G DWT,"2,2',3,3',4,4',5,5'-OCTACHLOROBIPHENYL (PCB 194)","2,2',3,3',4,4',5,5'-OCTACHLOROBIPHÉNYLE (BPC 194)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.136,,0.1,6975,NG/G DWT,"2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHENYL (PCB 207)","2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHÉNYLE (BPC 207)",P
