VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE
"79","4541","CHLOROPHYLL CORRECTED","CHLOROPHYLLE CORRIGÉE","CHLOROPHYLL","CHLOROPHYLLE","µG/L","MICROGRAM PER LITER","MICROGRAMME PAR LITRE","35","CHLOROPHYLL A - COLOURIMETRIC METHOD","CHLOROPHYLLE A - MÉTHODE COLORIMÉTRIQUE"
"80","414","CHLOROPHYLL A","CHLOROPHYLLE A","CHLOROPHYLL","CHLOROPHYLLE","µG/L","MICROGRAM PER LITER","MICROGRAMME PAR LITRE","41","CHLOROPHYLL A - COLOURIMETRIC METHOD","CHLOROPHYLLE A - MÉTHODE COLORIMÉTRIQUE"
"878","10186","2,2',4-TRICHLOROBIPHENYL (PCB 17)","2,2',4-TRICHLOROBIPHÉNYLE (BPC 17)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"879","1083","2,2',5-TRICHLOROBIPHENYL (PCB 18)","2,2',5-TRICHLOROBIPHÉNYLE (BPC 18)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"880","2619","2,4,4'-TRICHLOROBIPHENYL (PCB 28)","2,4,4'-TRICHLOROBIPHÉNYLE (BPC 28)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"881","4415","2,4',5-TRICHLOROBIPHENYL (PCB 31)","2,4',5-TRICHLOROBIPHÉNYLE (BPC 31)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"882","10180","2,3',4'-TRICHLOROBIPHENYL (PCB 33)","2,3',4'-TRICHLOROBIPHÉNYLE (BPC 33)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"883","1086","2,2',3,5'-TETRACHLOROBIPHENYL (PCB 44)","2,2',3,5'-TÉTRACHLOROBIPHÉNYLE (BPC 44)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"884","10175","2,2',4,5'-TETRACHLOROBIPHENYL (PCB 49)","2,2',4,5'-TÉTRACHLOROBIPHÉNYLE (BPC 49)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"885","1088","2,2',5,5'-TETRACHLOROBIPHENYL (PCB 52)","2,2',5,5'-TÉTRACHLOROBIPHÉNYLE (BPC 52)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"886","4416","2,3',4',5-TETRACHLOROBIPHENYL (PCB 70)","2,3',4',5-TÉTRACHLOROBIPHÉNYLE (BPC 70)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"887","10169","2,4,4',5-TETRACHLOROBIPHENYL (PCB 74)","2,4,4',5-TÉTRACHLOROBIPHÉNYLE (BPC 74)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"888","4417","2,2',3,3',4-PENTACHLOROBIPHENYL (PCB 82)","2,2',3,3',4-PENTACHLOROBIPHÉNYLE (BPC 82)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"889","1091","2,2',3,4,5'-PENTACHLOROBIPHENYL (PCB 87)","2,2',3,4,5'-PENTACHLOROBIPHÉNYLE (BPC 87)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"890","10165","2,2',3,5',6-PENTACHLOROBIPHENYL (PCB 95)","2,2',3,5',6-PENTACHLOROBIPHÉNYLE (BPC 95)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"891","10161","2,2',4,4',5-PENTACHLOROBIPHENYL (PCB 99)","2,2',4,4',5-PENTACHLOROBIPHÉNYLE (BPC 99)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"892","1092","2,2',4,5,5'-PENTACHLOROBIPHENYL (PCB 101)","2,2',4,5,5'-PENTACHLOROBIPHÉNYLE (BPC 101)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"893","1093","2,3,3'4,4'-PENTACHLOROBIPHENYL (PCB 105)","2,3,3'4,4'-PENTACHLOROBIPHÉNYLE (BPC 105)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"894","10156","2,3,3',4',6-PENTACHLOROBIPHENYL (PCB 110)","2,3,3',4',6-PENTACHLOROBIPHÉNYLE (BPC 110)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"895","1094","2,3',4,4',5-PENTACHLOROBIPHENYL (PCB 118)","2,3',4,4',5-PENTACHLOROBIPHÉNYLE (PCB 118)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"896","1096","2,2'3,3',4,4'-HEXACHLOROBIPHENYL (PCB 128)","2,2'3,3',4,4'-HEXACHLOROBIPHÉNYLE (BPC 128)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"897","4418","2,2',3,3',4,6'-HEXACHLOROBIPHENYL (PCB 132)","2,2',3,3',4,6'-HEXACHLOROBIPHÉNYLE (BPC 132)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"898","10107","PCB 138","BPC 138","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"899","10148","2,2',3,4',5',6-HEXACHLOROBIPHENYL (PCB 149)","2,2',3,4',5',6-HEXACHLOROBIPHÉNYLE (BPC 149)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"900","10150","2,2',3,5,5',6-HEXACHLOROBIPHENYL (PCB 151)","2,2',3,5,5',6-HEXACHLOROBIPHÉNYLE (BPC 151)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"901","1098","2,2',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 153)","2,2',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 153)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"902","10137","2,3,3',4,4',5-HEXACHLOROBIPHENYL (PCB 156)","2,3,3',4,4',5-HEXACHLOROBIPHÉNYLE (BPC 156)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"903","10140","2,3,3',4,4',6-HEXACHLOROBIPHENYL (PCB 158)","2,3,3',4,4',6-HEXACHLOROBIPHÉNYLE (BPC 158)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"904","2650","3,3',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 169)","3,3',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 169)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"905","1099","2,2',3,3',4,4',5-HEPTACHLOROBIPHENYL (PCB 170)","2,2',3,3',4,4',5-HEPTACHLOROBIPHÉNYLE (BPC 170)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"906","10126","2,2',3,3',4,4',6-HEPTACHLOROBIPHENYL (PCB 171)","2,2',3,3',4,4',6-HEPTACHLOROBIPHÉNYLE (BPC 171)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"907","10127","2,2',3,3',4,5',6'-HEPTACHLOROBIPHENYL (PCB 177)","2,2',3,3',4,5',6'-HEPTACHLOROBIPHÉNYLE (BPC 177)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"908","1100","2,2',3,4,4',5,5'-HEPTACHLOROBIPHENYL (PCB 180)","2,2',3,4,4',5,5'-HEPTACHLOROBIPHÉNYLE (BPC 180)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"909","10130","2,2',3,4,4',5',6-HEPTACHLOROBIPHENYL (PCB 183)","2,2',3,4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 183)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"910","1101","2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL (PCB 187)","2,2',3,4',5,5',6-HEPTACHLOROBIPHÉNYLE (PCB 187)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"911","10122","2,3,3',4,4',5',6-HEPTACHLOROBIPHENYL (PCB 191)","2,3,3',4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 191)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"912","10114","2,2',3,3',4,4',5,5'-OCTACHLOROBIPHENYL (PCB 194)","2,2',3,3',4,4',5,5'-OCTACHLOROBIPHÉNYLE (BPC 194)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"913","1102","2,2,'3,3',4,4',5,6-OCTACHLOROBIPHENYL (PCB 195)","2,2,'3,3',4,4',5,6-OCTACHLOROBIPHÉNYLE (BPC 195)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"914","10117","2,2',3,3',4,5,5',6'-OCTACHLOROBIPHENYL (PCB 199)","2,2',3,3',4,5,5',6'-OCTACHLOROBIPHÉNYLE (BPC 199)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
"915","10113","2,3,3',4,4',5,5',6-OCTACHLOROBIPHENYL (PCB 205)","2,3,3',4,4',5,5',6-OCTACHLOROBIPHÉNYLE (BPC 205)","PCB","BPC","NG/G","NANOGRAM PER GRAM","NANOGRAMME PAR GRAMME","308","ANALYSIS OF POLYCHLORINATED BIPHENYLS IN AQUEOUS AND SOLID MEDIA – HRGC-HRMS. LEEQ TECHNIQUE Q0506D0.","ANALYSE DES CONGÉNÈRES DE BIPHÉNYLES POLYCHLORÉS DANS DES MILIEUX AQUEUX ET DES SOLIDES – TECHNIQUE LEEQ PAR HRGC-HRMS Q0506D0."
