Date and Time (UTC),Site,Weather Station,Sensor,Sensor Value (ADC),Sensor Battery (V),Sensor Tx Level,Sensor Temperature (°C),Sensor Tilt (°),Sensor Depth (m),Turbidity (NTU),Salinity (PSU),Dissolved Oxygen (%),DO Concentration (mg/l),CDOM (ppb),Chlorophyll (µg/L),Phycocyanin (ppb),Air Temperature (°C),Barometric Air Pressure (mb),Wind Speed (kph),Wind Gusts (kph),Wind Direction
2021-08-15 4:00,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671077,201,,,20.1,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671121,179,,,,,,,,98.3,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671132,165,,,,,,,,90.6,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-684005,7,,,,,,,,,,,,12.4,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-670774,214,,,,,,,,117.5,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-686160,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:00,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-670772,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671124,139,,,,,,,,76.3,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671074,206,,,,,,,,113.1,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-682502,101,,,,,,,,,,,19.9,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671125,169,,,,,,,,92.8,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-684004,41,,,,,,,,,,,,72.6,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671132,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-684005,242,,,24.2,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671077,16,,,,16,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-670774,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-671123,174,,,,,,,,95.5,,,,,,,,,
2021-08-15 4:01,raeon-1,,aquaMeasure-684503,1,,,,,,,,,,1,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-682509,17,,,,17,,,,,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-682517,27,,,,,,,,,,,5.3,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-684501,9,,,,9,,,,,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-670772,177,,,,,,,,97.2,,,,,,,,,
2021-08-15 4:02,raeon-1,,aquaMeasure-671074,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-682523,19,,,,,,,,,,,3.7,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671123,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671124,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671073,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-670774,211,,,,,,,,115.8,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-682502,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671121,179,,,,,,,,98.3,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671077,69,,,,,,,,37.9,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671127,51,,,,,,,,28,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671125,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-684004,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-671132,165,,,,,,,,90.6,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-684005,7,,,,,,,,,,,,12.4,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-684503,250,,,25,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-670792,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:03,raeon-1,,aquaMeasure-670772,251,,,25.1,,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-686160,179,,,,179,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-684501,2,,,,,,,,,,1,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-684504,1,,,,,,,,,,1,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671074,206,,,,,,,,113.1,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671124,138,,,,,,,,75.8,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671073,168,,,,168,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671121,249,,,24.9,,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671077,200,,,20,,,,,,,,,,,,,,
2021-08-15 4:04,raeon-1,,aquaMeasure-671127,184,,,18.4,,,,,,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-671125,167,,,,,,,,91.7,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-682502,101,,,,,,,,,,,19.9,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684004,40,,,,,,,,,,,,70.9,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684503,3,,,,,,,,,,2,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684005,243,,,24.3,,,,,,,,,,,,,,
2021-08-15 4:05,raeon-1,,aquaMeasure-684501,250,,,25,,,,,,,,,,,,,,
