"V1","peak","peak.WL"
"BLANK_1","-2.08557922962087e-06","224.5249176"
"BLANK_2","4.61064035855676e-06","225.7819366"
"S264_1","2.80747953493012e-05","225.6248169"
"S264_2","2.87424076480073e-05","224.8391876"
"S265_1","2.41025053138248e-05","222.4819946"
"S265_2","2.27820073411249e-05","225.6248169"
"S289_1","6.34975446393977e-05","225.7819366"
"S289_2","6.39508680679973e-05","224.8391876"
"S238_1","2.99728248887988e-05","225.6248169"
"S238_2","3.03933861735537e-05","225.6248169"
"S262_1","2.98667138895797e-05","224.8391876"
"S262_2","2.88715016174332e-05","225.6248169"
"S275_1","4.4306520857014e-05","225.7819366"
"S275_2","4.26042268465279e-05","224.5249176"
"S219_1","7.06629385619444e-05","224.8391876"
"S219_2","7.14644072359511e-05","224.8391876"
"CTL1_1","2.19426262209967e-05","225.6248169"
"CTL1_2","2.17353505973981e-05","225.6248169"
"S270_1","2.41509665551234e-05","225.7819366"
"S270_2","2.34896934818602e-05","225.7819366"
"S244_1","2.54749718218888e-05","225.6248169"
"S244_2","2.58216574428986e-05","225.6248169"
"S203_1","2.90690708282215e-05","225.6248169"
"S203_2","2.90315143936503e-05","225.6248169"
"S255_1","9.77138784213898e-06","225.6248169"
"S255_2","9.97216747591757e-06","224.6820526"
"S257_1","2.34478100024334e-05","225.6248169"
"S257_2","2.11462313231611e-05","225.6248169"
"S252_1","1.69798686169352e-05","225.7819366"
"S252_2","2.00645503855396e-05","225.6248169"
"CTL5_1","2.53337131238924e-05","225.7819366"
"CTL5_2","2.59398740467318e-05","224.8391876"
"S294_1","6.03958692179732e-05","224.8391876"
"S294_2","5.8510436896461e-05","225.7819366"
"S250_1","4.0396617165045e-05","225.6248169"
"S250_2","4.16866417437476e-05","224.9963226"
"S310_1","4.29790115377297e-05","225.7819366"
"S310_2","4.21216660960702e-05","224.6820526"
"S204_1","1.70615651691591e-05","225.6248169"
"S204_2","1.52399157846419e-05","225.6248169"
"S258_1","3.12433931909262e-05","225.6248169"
"S258_2","3.17220823086076e-05","224.8391876"
"S272_1","6.03732947150142e-05","224.8391876"
"S272_2","5.88878694689365e-05","224.8391876"
"S263_1","2.63328286476478e-05","225.6248169"
"S263_2","2.60211906121466e-05","225.6248169"
"S243_1","3.10217876988833e-05","225.7819366"
"S243_2","3.01358402718035e-05","225.6248169"
"S232_1","1.92415627571075e-05","225.6248169"
"S232_2","1.86332911660611e-05","225.6248169"
"S274_1","6.05652983828077e-05","225.7819366"
"S274_2","5.9942963029698e-05","224.8391876"
"S277_1","7.05158787144498e-05","225.6248169"
"S277_2","7.31025176939334e-05","224.6820526"
"S222_1","2.55735016582581e-05","225.6248169"
"S222_2","2.36573673665627e-05","225.6248169"
"S276_1","7.14150336497023e-05","224.8391876"
"S276_2","7.06553345417174e-05","225.7819366"
"CTL2_1","2.30357518115915e-05","225.6248169"
"CTL2_2","1.88124576994844e-05","225.7819366"
"S254_1","1.76984523592637e-05","225.6248169"
