,Z1,,Z2,,Z3,,Z4,,Z5,,Z6,,Z7,,Z8,,Z9,,Z10,,Z11,,Z12,,Z13,,Z14,,Z15,,Z16,,Z17,,Z18,,Z19,,Z20,,Z21,,Z22,,Z23,,Z24,,Z25,,Z26,,Z27,,Z28,,Z29,,Z30,,Z31,,Z32,,Z33,,Z34,,Z35,,Z36,,Z37,,Z38,,Z39,,Z40,,Z41,,Z42,,Z43,,Z44,,Z45,,Z46,,Z47,,Z48,,Z49,,Z50,,Z51,,Z52,,Z53,,Z54,,Z55,,Z56,,Z57,,Z58,,Z59,,Z60,,Z61,,Z62,,Z63,,Z64,,Z65,,Z66,,Z67,,Z68,,Z69,,Z70,,Z71,,Z72,,Z73,,Z74,,Z75,,Z76,,Z77,,Z78,,Z79,,Z80,,Z81,,Z82,,Z83,,Z84,,Z85,,Z86,,Z87,,Z88,,Z89,,Z90,,Z91,,Z92,,Z93
249.9483948,0.000840554,249.9483948,0.013931345,249.9483948,0.052356184,249.9483948,0.048893608,249.9483948,0.02474409,249.9483948,0.003461745,249.9483948,0.001314146,249.9483948,0.005207985,249.9483948,0.003769649,249.9483948,0.012860721,249.9483948,0.012322868,249.9483948,0.019898064,249.9483948,0.012370381,249.9483948,0.022659108,249.9483948,0.011005861,249.9483948,0.008446186,249.9483948,0.00421759,249.9483948,0.018552056,249.9483948,0.01260301,249.9483948,0.005678709,249.9483948,0.004119163,249.9483948,0.009084606,249.9483948,0.003819864,249.9483948,0.004571912,249.9483948,0.002347616,249.9483948,0.016862972,249.9483948,0.003448803,249.9483948,0.014632847,249.9483948,0.010618293,249.9483948,0.024389824,249.9483948,0.008883047,249.9483948,0.014739069,249.9483948,0.024895577,249.9483948,0.004674314,249.9483948,0.013961765,249.9483948,0.009094227,249.9483948,0.0195754,249.9483948,0.007207552,249.9483948,0.012476556,249.9483948,0.010717805,249.9483948,0.003298981,249.9483948,0.007438986,249.9483948,0.003920026,249.9483948,0.017394681,249.9483948,0.024836725,249.9483948,0.025947297,249.9483948,0.00849771,249.9483948,0.007437274,249.9483948,0.005178618,249.9483948,0.009925677,249.9483948,0.003402779,249.9483948,0.010131032,249.9483948,0.090104029,249.9483948,0.012448079,249.9483948,0.026930973,249.9483948,0.001086446,249.9483948,0.006865696,249.9483948,0.021859374,249.9483948,0.003781504,249.9483948,-0.002970638,249.9483948,0.000996873,249.9483948,0.008319485,249.9483948,0.025354965,249.9483948,-0.003765209,249.9483948,0.0161548,249.9483948,-0.001061528,249.9483948,0.002582098,249.9483948,0.034118488,249.9483948,0.000286963,249.9483948,0.002978091,249.9483948,0.030310575,249.9483948,-0.002193774,249.9483948,0.004051145,249.9483948,-0.005353786,249.9483948,0.002376766,249.9483948,-0.009113265,249.9483948,-0.002915616,249.9483948,-0.00323701,249.9483948,-0.001292064,249.9483948,0.001872038,249.9483948,-0.00474559,249.9483948,-0.010960982,249.9483948,-0.001504782,249.9483948,-0.006858764,249.9483948,-0.0030474,249.9483948,0.003089139,249.9483948,-0.005244491,249.9483948,-0.005362326,249.9483948,-0.000112331,249.9483948,-0.005086049,249.9483948,-0.005562889,249.9483948,-0.004909121,249.9483948,-0.007639138
249.7917023,0.000810962,249.7917023,0.013934607,249.7917023,0.052502718,249.7917023,0.049005304,249.7917023,0.024742557,249.7917023,0.003474296,249.7917023,0.000895101,249.7917023,0.005167563,249.7917023,0.003708004,249.7917023,0.012924559,249.7917023,0.012356957,249.7917023,0.020038381,249.7917023,0.012465394,249.7917023,0.022931483,249.7917023,0.011010163,249.7917023,0.008329038,249.7917023,0.004304823,249.7917023,0.018628247,249.7917023,0.012615295,249.7917023,0.005712647,249.7917023,0.004131969,249.7917023,0.00928245,249.7917023,0.003812918,249.7917023,0.004619552,249.7917023,0.002358625,249.7917023,0.016946619,249.7917023,0.003331247,249.7917023,0.014702141,249.7917023,0.010751211,249.7917023,0.02447129,249.7917023,0.008927251,249.7917023,0.01474563,249.7917023,0.024943197,249.7917023,0.004707913,249.7917023,0.014007559,249.7917023,0.009186993,249.7917023,0.019695109,249.7917023,0.007234504,249.7917023,0.012606261,249.7917023,0.010684269,249.7917023,0.003589307,249.7917023,0.007563007,249.7917023,0.004053863,249.7917023,0.017451938,249.7917023,0.0246746,249.7917023,0.026051814,249.7917023,0.008543381,249.7917023,0.007461633,249.7917023,0.005240551,249.7917023,0.009954281,249.7917023,0.00340184,249.7917023,0.010231839,249.7917023,0.088939883,249.7917023,0.012490329,249.7917023,0.026990468,249.7917023,0.00123735,249.7917023,0.006921452,249.7917023,0.021901488,249.7917023,0.003860997,249.7917023,-0.002953567,249.7917023,0.001020147,249.7917023,0.008181505,249.7917023,0.02515715,249.7917023,-0.003742317,249.7917023,0.0161958,249.7917023,-0.001072476,249.7917023,0.002664055,249.7917023,0.03426031,249.7917023,0.000336311,249.7917023,0.002944288,249.7917023,0.030324148,249.7917023,-0.002213656,249.7917023,0.004236253,249.7917023,-0.005319113,249.7917023,0.002493283,249.7917023,-0.009137903,249.7917023,-0.00287828,249.7917023,-0.0031187,249.7917023,-0.001337434,249.7917023,0.002114587,249.7917023,-0.004794031,249.7917023,-0.010890503,249.7917023,-0.001553689,249.7917023,-0.006959706,249.7917023,-0.003015576,249.7917023,0.00316874,249.7917023,-0.005130206,249.7917023,-0.005263519,249.7917023,-0.000241035,249.7917023,-0.00506118,249.7917023,-0.005581187,249.7917023,-0.004960001,249.7917023,-0.007498919
249.6350098,0.000753391,249.6350098,0.013900581,249.6350098,0.052572746,249.6350098,0.049006607,249.6350098,0.0248006,249.6350098,0.00351704,249.6350098,0.000848801,249.6350098,0.005174505,249.6350098,0.003567566,249.6350098,0.012886053,249.6350098,0.012251263,249.6350098,0.020141758,249.6350098,0.01262838,249.6350098,0.022880426,249.6350098,0.011003259,249.6350098,0.008030463,249.6350098,0.004229614,249.6350098,0.018694291,249.6350098,0.012671501,249.6350098,0.005691061,249.6350098,0.004212362,249.6350098,0.009169359,249.6350098,0.003810385,249.6350098,0.004638416,249.6350098,0.0021995,249.6350098,0.01696565,249.6350098,0.00333469,249.6350098,0.014681898,249.6350098,0.010691831,249.6350098,0.024475262,249.6350098,0.00884524,249.6350098,0.014837094,249.6350098,0.025084056,249.6350098,0.004744994,249.6350098,0.014000635,249.6350098,0.009173298,249.6350098,0.019658433,249.6350098,0.0072618,249.6350098,0.012540498,249.6350098,0.010629142,249.6350098,0.003801767,249.6350098,0.007733649,249.6350098,0.004250709,249.6350098,0.017599177,249.6350098,0.024727512,249.6350098,0.026114652,249.6350098,0.008419185,249.6350098,0.007492498,249.6350098,0.005163162,249.6350098,0.009784882,249.6350098,0.003341838,249.6350098,0.010209179,249.6350098,0.089996561,249.6350098,0.012509272,249.6350098,0.027059669,249.6350098,0.001114837,249.6350098,0.00683072,249.6350098,0.021829566,249.6350098,0.003926399,249.6350098,-0.003015782,249.6350098,0.001003281,249.6350098,0.008016672,249.6350098,0.025081066,249.6350098,-0.003795797,249.6350098,0.016319929,249.6350098,-0.001079655,249.6350098,0.002590665,249.6350098,0.03418326,249.6350098,0.000304785,249.6350098,0.00296605,249.6350098,0.030483592,249.6350098,-0.002291479,249.6350098,0.004172974,249.6350098,-0.005380837,249.6350098,0.002373435,249.6350098,-0.00924298,249.6350098,-0.00295876,249.6350098,-0.003125896,249.6350098,-0.001417375,249.6350098,0.001898037,249.6350098,-0.004806678,249.6350098,-0.010967494,249.6350098,-0.001532899,249.6350098,-0.007067857,249.6350098,-0.003107391,249.6350098,0.003108744,249.6350098,-0.005064916,249.6350098,-0.005422459,249.6350098,-0.000286153,249.6350098,-0.004981703,249.6350098,-0.005587474,249.6350098,-0.004944646,249.6350098,-0.007596049
249.4783173,0.000626996,249.4783173,0.01385421,249.4783173,0.052505668,249.4783173,0.049258906,249.4783173,0.024863038,249.4783173,0.003425399,249.4783173,0.000687169,249.4783173,0.005141263,249.4783173,0.00357798,249.4783173,0.012817075,249.4783173,0.012273977,249.4783173,0.020271981,249.4783173,0.012680323,249.4783173,0.022931509,249.4783173,0.011062523,249.4783173,0.007941872,249.4783173,0.004186643,249.4783173,0.01854595,249.4783173,0.012756878,249.4783173,0.005668034,249.4783173,0.00409912,249.4783173,0.009138294,249.4783173,0.003787092,249.4783173,0.004585044,249.4783173,0.002126969,249.4783173,0.016935235,249.4783173,0.003238237,249.4783173,0.014805782,249.4783173,0.010735052,249.4783173,0.024521027,249.4783173,0.008685965,249.4783173,0.014712879,249.4783173,0.025094807,249.4783173,0.004655893,249.4783173,0.013967352,249.4783173,0.009124786,249.4783173,0.019490758,249.4783173,0.007181734,249.4783173,0.012590006,249.4783173,0.010607788,249.4783173,0.004041347,249.4783173,0.007686667,249.4783173,0.004347361,249.4783173,0.017541198,249.4783173,0.024713974,249.4783173,0.026046976,249.4783173,0.008396198,249.4783173,0.007430743,249.4783173,0.00509629,249.4783173,0.00978181,249.4783173,0.003260718,249.4783173,0.01015223,249.4783173,0.089405164,249.4783173,0.012385243,249.4783173,0.027081819,249.4783173,0.001120572,249.4783173,0.006794039,249.4783173,0.021894982,249.4783173,0.003830546,249.4783173,-0.003039997,249.4783173,0.000959591,249.4783173,0.007904832,249.4783173,0.02497744,249.4783173,-0.003772702,249.4783173,0.016290365,249.4783173,-0.001085646,249.4783173,0.00260991,249.4783173,0.034159988,249.4783173,0.000304396,249.4783173,0.00289175,249.4783173,0.030640982,249.4783173,-0.002303736,249.4783173,0.004194667,249.4783173,-0.005437695,249.4783173,0.002282165,249.4783173,-0.009244348,249.4783173,-0.003061537,249.4783173,-0.003123737,249.4783173,-0.001511489,249.4783173,0.001821033,249.4783173,-0.004889823,249.4783173,-0.01110256,249.4783173,-0.001650456,249.4783173,-0.007120929,249.4783173,-0.003127849,249.4783173,0.003179535,249.4783173,-0.005082109,249.4783173,-0.005429463,249.4783173,-0.000310572,249.4783173,-0.005135987,249.4783173,-0.005650028,249.4783173,-0.004988408,249.4783173,-0.007596813
249.3216248,0.00073148,249.3216248,0.013969999,249.3216248,0.052541748,249.3216248,0.049314436,249.3216248,0.024876717,249.3216248,0.003509681,249.3216248,0.000751654,249.3216248,0.005199681,249.3216248,0.003678346,249.3216248,0.012905465,249.3216248,0.012302283,249.3216248,0.020473987,249.3216248,0.01284635,249.3216248,0.023159929,249.3216248,0.011052619,249.3216248,0.007933383,249.3216248,0.004424735,249.3216248,0.018628031,249.3216248,0.012913679,249.3216248,0.005779195,249.3216248,0.004133014,249.3216248,0.009232736,249.3216248,0.003762233,249.3216248,0.004698885,249.3216248,0.002186934,249.3216248,0.01707807,249.3216248,0.003370559,249.3216248,0.014826754,249.3216248,0.010882685,249.3216248,0.024605587,249.3216248,0.00874951,249.3216248,0.014890078,249.3216248,0.025349366,249.3216248,0.00469789,249.3216248,0.01411689,249.3216248,0.009267112,249.3216248,0.019716887,249.3216248,0.007210079,249.3216248,0.012699247,249.3216248,0.010752989,249.3216248,0.004426854,249.3216248,0.007866479,249.3216248,0.004561082,249.3216248,0.017895073,249.3216248,0.024530642,249.3216248,0.026201613,249.3216248,0.008506448,249.3216248,0.007558766,249.3216248,0.005114363,249.3216248,0.009750333,249.3216248,0.00335715,249.3216248,0.01027088,249.3216248,0.089398168,249.3216248,0.012672247,249.3216248,0.027243439,249.3216248,0.00124288,249.3216248,0.00694644,249.3216248,0.022027966,249.3216248,0.003935672,249.3216248,-0.002882548,249.3216248,0.001097605,249.3216248,0.007914903,249.3216248,0.025043113,249.3216248,-0.003733027,249.3216248,0.016396428,249.3216248,-0.000914261,249.3216248,0.00269281,249.3216248,0.034275997,249.3216248,0.000403931,249.3216248,0.002971888,249.3216248,0.030854734,249.3216248,-0.002191043,249.3216248,0.004328118,249.3216248,-0.005275487,249.3216248,0.002372628,249.3216248,-0.009133239,249.3216248,-0.0028826,249.3216248,-0.002916285,249.3216248,-0.001350905,249.3216248,0.002005609,249.3216248,-0.004756548,249.3216248,-0.011004394,249.3216248,-0.001522787,249.3216248,-0.007066023,249.3216248,-0.00306308,249.3216248,0.003303858,249.3216248,-0.004914803,249.3216248,-0.00545835,249.3216248,-0.000265716,249.3216248,-0.004993781,249.3216248,-0.00547788,249.3216248,-0.004875795,249.3216248,-0.007369854
249.164917,0.000754091,249.164917,0.013908973,249.164917,0.052576721,249.164917,0.049345091,249.164917,0.024905337,249.164917,0.00356827,249.164917,0.000795505,249.164917,0.005126568,249.164917,0.003688867,249.164917,0.012855655,249.164917,0.01229717,249.164917,0.020685911,249.164917,0.012954028,249.164917,0.023186659,249.164917,0.011205539,249.164917,0.007907364,249.164917,0.004364174,249.164917,0.018698722,249.164917,0.012875414,249.164917,0.00581482,249.164917,0.004097604,249.164917,0.009295964,249.164917,0.003807617,249.164917,0.004672849,249.164917,0.002225934,249.164917,0.017117597,249.164917,0.003353655,249.164917,0.014853781,249.164917,0.011017862,249.164917,0.024689123,249.164917,0.008615036,249.164917,0.014901491,249.164917,0.025457719,249.164917,0.004710059,249.164917,0.013988899,249.164917,0.009259338,249.164917,0.019544667,249.164917,0.007173418,249.164917,0.01265551,249.164917,0.010706264,249.164917,0.004618662,249.164917,0.007902144,249.164917,0.004644747,249.164917,0.017931947,249.164917,0.024301501,249.164917,0.026225122,249.164917,0.008586838,249.164917,0.007594854,249.164917,0.005082645,249.164917,0.009761213,249.164917,0.003362107,249.164917,0.010269236,249.164917,0.087932512,249.164917,0.012523899,249.164917,0.027271084,249.164917,0.001191663,249.164917,0.006965878,249.164917,0.022153255,249.164917,0.003939355,249.164917,-0.00293742,249.164917,0.001090364,249.164917,0.007847236,249.164917,0.025133945,249.164917,-0.003773883,249.164917,0.016346188,249.164917,-0.000984672,249.164917,0.002712085,249.164917,0.034272689,249.164917,0.000354394,249.164917,0.002991593,249.164917,0.030864043,249.164917,-0.002208918,249.164917,0.004267334,249.164917,-0.00533149,249.164917,0.002313783,249.164917,-0.009098715,249.164917,-0.002806786,249.164917,-0.002931918,249.164917,-0.001407105,249.164917,0.001913975,249.164917,-0.004691612,249.164917,-0.011032609,249.164917,-0.001529185,249.164917,-0.007168088,249.164917,-0.003062051,249.164917,0.003313875,249.164917,-0.004837142,249.164917,-0.005471233,249.164917,-0.000302967,249.164917,-0.005006474,249.164917,-0.005470057,249.164917,-0.004871188,249.164917,-0.007401411
249.0082245,0.000679261,249.0082245,0.013820752,249.0082245,0.052506048,249.0082245,0.049353875,249.0082245,0.024766617,249.0082245,0.003468008,249.0082245,0.000661942,249.0082245,0.005039196,249.0082245,0.003619637,249.0082245,0.01276858,249.0082245,0.012315677,249.0082245,0.020759465,249.0082245,0.012992728,249.0082245,0.023203999,249.0082245,0.01116976,249.0082245,0.007738919,249.0082245,0.004282785,249.0082245,0.018755371,249.0082245,0.012853442,249.0082245,0.005764294,249.0082245,0.003943196,249.0082245,0.009089099,249.0082245,0.003684873,249.0082245,0.004528751,249.0082245,0.00210257,249.0082245,0.017031925,249.0082245,0.00322431,249.0082245,0.014705194,249.0082245,0.010836423,249.0082245,0.024646325,249.0082245,0.008492035,249.0082245,0.014859379,249.0082245,0.025517233,249.0082245,0.004626799,249.0082245,0.013926694,249.0082245,0.009204259,249.0082245,0.019454561,249.0082245,0.007116577,249.0082245,0.012644104,249.0082245,0.010615932,249.0082245,0.004682504,249.0082245,0.007936072,249.0082245,0.004684467,249.0082245,0.01795461,249.0082245,0.024029745,249.0082245,0.026291836,249.0082245,0.008449379,249.0082245,0.007471798,249.0082245,0.005032885,249.0082245,0.009697839,249.0082245,0.003292121,249.0082245,0.010271754,249.0082245,0.089235559,249.0082245,0.012314639,249.0082245,0.027219048,249.0082245,0.001123323,249.0082245,0.006936392,249.0082245,0.022083443,249.0082245,0.003887585,249.0082245,-0.003015782,249.0082245,0.001030136,249.0082245,0.007613373,249.0082245,0.024925761,249.0082245,-0.003792461,249.0082245,0.016392611,249.0082245,-0.001015819,249.0082245,0.002592071,249.0082245,0.034272354,249.0082245,0.000311908,249.0082245,0.002916949,249.0082245,0.030947207,249.0082245,-0.002254192,249.0082245,0.004280406,249.0082245,-0.005456305,249.0082245,0.002247088,249.0082245,-0.009194475,249.0082245,-0.002952744,249.0082245,-0.002903377,249.0082245,-0.00147883,249.0082245,0.001839984,249.0082245,-0.004838115,249.0082245,-0.011060924,249.0082245,-0.001581958,249.0082245,-0.007216107,249.0082245,-0.0030949,249.0082245,0.00326124,249.0082245,-0.004858491,249.0082245,-0.005478749,249.0082245,-0.00041734,249.0082245,-0.005081495,249.0082245,-0.005430486,249.0082245,-0.004836272,249.0082245,-0.007457038
248.8515167,0.000775251,248.8515167,0.013971923,248.8515167,0.05267388,248.8515167,0.049499661,248.8515167,0.024929982,248.8515167,0.003588576,248.8515167,0.000819883,248.8515167,0.005218648,248.8515167,0.003721841,248.8515167,0.012794146,248.8515167,0.012435745,248.8515167,0.020909186,248.8515167,0.013130885,248.8515167,0.023316134,248.8515167,0.011332845,248.8515167,0.008141069,248.8515167,0.00444414,248.8515167,0.018859144,248.8515167,0.013148014,248.8515167,0.005913028,248.8515167,0.004044692,248.8515167,0.009311699,248.8515167,0.003756698,248.8515167,0.004637082,248.8515167,0.002269856,248.8515167,0.017204067,248.8515167,0.003433957,248.8515167,0.014871782,248.8515167,0.011050574,248.8515167,0.024843002,248.8515167,0.008545255,248.8515167,0.015059551,248.8515167,0.025806019,248.8515167,0.004777526,248.8515167,0.014176821,248.8515167,0.009411919,248.8515167,0.01953879,248.8515167,0.007163996,248.8515167,0.012764742,248.8515167,0.010816837,248.8515167,0.005006201,248.8515167,0.008096655,248.8515167,0.004904035,248.8515167,0.018275881,248.8515167,0.024073001,248.8515167,0.026368627,248.8515167,0.008609412,248.8515167,0.007636846,248.8515167,0.005200833,248.8515167,0.009804422,248.8515167,0.00344048,248.8515167,0.010403613,248.8515167,0.088087939,248.8515167,0.012519929,248.8515167,0.02738764,248.8515167,0.001331361,248.8515167,0.007080739,248.8515167,0.022189923,248.8515167,0.004079522,248.8515167,-0.002850609,248.8515167,0.001138091,248.8515167,0.007680107,248.8515167,0.024947802,248.8515167,-0.003640779,248.8515167,0.016543901,248.8515167,-0.000818416,248.8515167,0.002696977,248.8515167,0.03447327,248.8515167,0.00043803,248.8515167,0.003076912,248.8515167,0.031495646,248.8515167,-0.002119282,248.8515167,0.004458707,248.8515167,-0.005287712,248.8515167,0.00237635,248.8515167,-0.009078181,248.8515167,-0.00281908,248.8515167,-0.002767177,248.8515167,-0.001377535,248.8515167,0.001937063,248.8515167,-0.004675735,248.8515167,-0.010927562,248.8515167,-0.001441318,248.8515167,-0.007093426,248.8515167,-0.002972798,248.8515167,0.003345046,248.8515167,-0.004647923,248.8515167,-0.005314153,248.8515167,-0.000220544,248.8515167,-0.004940602,248.8515167,-0.00521114,248.8515167,-0.004747433,248.8515167,-0.007301794
248.694809,0.000825744,248.694809,0.0141416,248.694809,0.053063229,248.694809,0.04992497,248.694809,0.025229927,248.694809,0.003649944,248.694809,0.000753651,248.694809,0.005287661,248.694809,0.003711372,248.694809,0.013020521,248.694809,0.012608313,248.694809,0.021109449,248.694809,0.013379165,248.694809,0.023688579,248.694809,0.011535066,248.694809,0.007927636,248.694809,0.004517189,248.694809,0.019053459,248.694809,0.013228946,248.694809,0.005969949,248.694809,0.004104163,248.694809,0.009409141,248.694809,0.003781138,248.694809,0.004671358,248.694809,0.002286537,248.694809,0.017493602,248.694809,0.003440715,248.694809,0.015056604,248.694809,0.01112538,248.694809,0.025102459,248.694809,0.008599854,248.694809,0.015170863,248.694809,0.026103189,248.694809,0.004890709,248.694809,0.014198566,248.694809,0.0094516,248.694809,0.019736987,248.694809,0.007116524,248.694809,0.012881253,248.694809,0.010844836,248.694809,0.004991275,248.694809,0.008248881,248.694809,0.004940217,248.694809,0.018427802,248.694809,0.024103099,248.694809,0.026620328,248.694809,0.008690534,248.694809,0.007717601,248.694809,0.00522132,248.694809,0.009893314,248.694809,0.00333289,248.694809,0.010462265,248.694809,0.08946792,248.694809,0.012450449,248.694809,0.027627021,248.694809,0.001312199,248.694809,0.007165365,248.694809,0.022450089,248.694809,0.004050544,248.694809,-0.002957526,248.694809,0.001162852,248.694809,0.007699578,248.694809,0.025122371,248.694809,-0.003759717,248.694809,0.016633779,248.694809,-0.000845906,248.694809,0.002700988,248.694809,0.034694552,248.694809,0.000425437,248.694809,0.003112186,248.694809,0.031858489,248.694809,-0.002170953,248.694809,0.004468985,248.694809,-0.005360332,248.694809,0.002341916,248.694809,-0.009199391,248.694809,-0.002937112,248.694809,-0.002770623,248.694809,-0.001364323,248.694809,0.00193904,248.694809,-0.004754756,248.694809,-0.01113526,248.694809,-0.001430482,248.694809,-0.007285758,248.694809,-0.003039791,248.694809,0.003422816,248.694809,-0.004753271,248.694809,-0.005434167,248.694809,-0.00032692,248.694809,-0.005011387,248.694809,-0.005291292,248.694809,-0.004874362,248.694809,-0.007392453
248.5381012,0.000790033,248.5381012,0.014223119,248.5381012,0.053214185,248.5381012,0.050239436,248.5381012,0.025251877,248.5381012,0.003758134,248.5381012,0.000832125,248.5381012,0.005298457,248.5381012,0.003803726,248.5381012,0.013018333,248.5381012,0.012650393,248.5381012,0.021371851,248.5381012,0.013625691,248.5381012,0.02384473,248.5381012,0.011635348,248.5381012,0.007998294,248.5381012,0.004624235,248.5381012,0.01920219,248.5381012,0.013413124,248.5381012,0.006018346,248.5381012,0.004037114,248.5381012,0.009416151,248.5381012,0.003773931,248.5381012,0.004662199,248.5381012,0.002305872,248.5381012,0.017393494,248.5381012,0.003427904,248.5381012,0.015188207,248.5381012,0.011277237,248.5381012,0.025286336,248.5381012,0.008663544,248.5381012,0.015168933,248.5381012,0.02630776,248.5381012,0.004959906,248.5381012,0.014309148,248.5381012,0.00952682,248.5381012,0.019767165,248.5381012,0.007187945,248.5381012,0.012906639,248.5381012,0.010837432,248.5381012,0.005065935,248.5381012,0.008428898,248.5381012,0.0051064,248.5381012,0.018536901,248.5381012,0.024215851,248.5381012,0.026770461,248.5381012,0.00871705,248.5381012,0.007756496,248.5381012,0.005223154,248.5381012,0.009907271,248.5381012,0.003460545,248.5381012,0.010514135,248.5381012,0.087372556,248.5381012,0.012615642,248.5381012,0.027727142,248.5381012,0.00138906,248.5381012,0.007215606,248.5381012,0.02255415,248.5381012,0.004106202,248.5381012,-0.002891651,248.5381012,0.001245164,248.5381012,0.007674468,248.5381012,0.025180193,248.5381012,-0.003733489,248.5381012,0.016744098,248.5381012,-0.000850453,248.5381012,0.002769238,248.5381012,0.034776576,248.5381012,0.000469074,248.5381012,0.003136382,248.5381012,0.032151692,248.5381012,-0.002104753,248.5381012,0.004429861,248.5381012,-0.005412488,248.5381012,0.002313237,248.5381012,-0.009163452,248.5381012,-0.002926878,248.5381012,-0.002681515,248.5381012,-0.001414846,248.5381012,0.001924193,248.5381012,-0.004694992,248.5381012,-0.011153476,248.5381012,-0.001376297,248.5381012,-0.007280361,248.5381012,-0.003032799,248.5381012,0.003558822,248.5381012,-0.004624616,248.5381012,-0.005431253,248.5381012,-0.000319057,248.5381012,-0.004964096,248.5381012,-0.005245105,248.5381012,-0.004777031,248.5381012,-0.007320987
