Year,n.b.total,n.b.spring,n.b.autumn,biomass.kg.ha,biomass.g.m2,biomass.kg.ha.sd,biomass.g.m2.sd,Source,masscorr.N.excr,masscorr.N.excr.sd,masscorr.P.excr,masscorr.P.excr.sd,Pop.N.excr,Pop.N.excr.sd,Pop.P.excr,Pop.P.excr.sd,Agg.biomass.g.m2,Agg.biomass.g.sd,Agg.biomass.g.se,Agg.N.excr,Agg.N.excr.sd,Agg.N.excr.se,Agg.P.excr,Agg.P.excr.sd,Agg.P.excr.se,n.load,Nload,Nload.sd,Nload.se,Pload,Pload.sd,Pload.se
2013,NA,41,41,137.05,3.42625,104.2913467,2.6072836675000004,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,46.29922508241828,46.186231670540536,10.986216789026187,15.566184190590121,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2014,NA,41,41,93.4,2.335,72.9633127,1.8240828175000003,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,31.553065470250765,31.96538391604813,7.487140810616898,10.690468501738403,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2015,NA,41,41,52.5,1.3125,42.82201537,1.07055038425,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,17.735930805012476,18.44316905792634,4.208510626952753,6.08966501771521,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2016,NA,41,41,44.4,1.11,34.42237644,0.860559411,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,14.999530052239123,15.127248881843483,3.5591975587943288,5.070494851617028,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2017,NA,36,41,35.3,0.8825,28.59948717,0.71498717925,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,11.92530204603696,12.349701508871977,2.829722383455851,4.0858637793295305,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2018,NA,NA,41,44.3,1.1075,25.93878395,0.64846959875,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,14.96574732689624,13.037264568214201,3.551181348076323,4.726298043179992,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2019,NA,41,41,56.5,1.4125,54.18306931,1.35457673275,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,19.087239818727713,22.05969255465037,4.529159055672963,6.9403271040562835,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2020,NA,NA,26,49.4,1.235,59.84789748,1.496197437,Fish,13.513090137152362,8.716153431823559,3.2064842872020978,3.8323559775437404,16.68866631938317,22.905262263875716,3.960008094694591,6.739231058358109,1.6026562500000001,1.4584688570285522,0.30248546651000735,21.656838365120592,25.143847105753704,4.087513374128312,5.138892083411237,8.306651677238388,0.9699148954713349,8,623.0204609936509,723.3341705227856,117.58893074478341,147.83482523284113,238.9644263865256,27.902356526536085
2011,18,NA,NA,NA,10.8789473687,NA,4.34835913335,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,1184.2508658299882,1106.648870560369,209.75376043798494,297.8964615834277,6.19131182843,7.747575962723919,2.7734807592171014,673.968367062505,1079.5554482911189,301.9131244182269,119.37284868145781,243.72436812306015,53.47466064795399,3,19388.614148715416,31056.47840756718,8685.388457163644,3434.0990112123895,7011.423626265295,1538.3504815746367
2014,22,NA,NA,NA,6.4157894747999995,NA,11.7754121958,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,698.4043568750852,1411.0696167442184,123.70093566125557,282.7826453120446,6.19131182843,7.747575962723919,2.7734807592171014,673.968367062505,1079.5554482911189,301.9131244182269,119.37284868145781,243.72436812306015,53.47466064795399,3,19388.614148715416,31056.47840756718,8685.388457163644,3434.0990112123895,7011.423626265295,1538.3504815746367
2019,27,NA,NA,NA,1.2791986417899999,NA,4.74407423645,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,139.24987848244155,529.6515003225232,24.66384994513291,97.44935370411935,6.19131182843,7.747575962723919,2.7734807592171014,673.968367062505,1079.5554482911189,301.9131244182269,119.37284868145781,243.72436812306015,53.47466064795399,3,19388.614148715416,31056.47840756718,8685.388457163644,3434.0990112123895,7011.423626265295,1538.3504815746367
