Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing
masscorr.N.excr,17.628659718516957,27.51674398293243,9.02161285936482,3.3479632500000003,257.08077270788914,6.401120912694322,47.752346598900175,139,0
masscorr.P.excr,3.9003354835047053,7.057827898835319,4.263720054422488,0.20891138715728716,72.09778315565032,6.8988510562852925,63.45402829913384,139,0
masscorr.NP.excr,5.017667624556487,5.668696914770838,4.635051226019937,0.43780606729883553,44.87125450408892,3.2233496317871273,17.21215567091921,139,0
massnorm.N.excr,20.40171045684179,19.549642935354964,11.028225963282743,4.047620092655478,169.03846997952377,4.738675513773608,28.54350000987027,139,0
massnorm.P.excr,6.464526531591339,6.524136733995503,7.163709258341921,0.43164369893274257,29.130907504978964,1.4536184975708168,1.3444976544668639,139,0
massnorm.NP.excr,3.079554727979741,3.2731157884640063,3.475955440220029,0.19835797457218965,19.148919596739518,2.121581956925937,5.417095251630602,139,0
masscorr.N.excr.t,40.62801568522695,142.00881214761986,24.56546035708776,-76.679808,1412.112041151386,7.778286772161486,68.43655953518564,139,0
masscorr.P.excr.t,5.469579861533123,14.825336802951231,4.927553013385316,0.068369863625,117.58419147121536,6.363646485981032,44.10036222729952,139,0
masscorr.NP.excr.t,5.094801239399431,9.528196910165601,6.289761852873916,-51.04726096691539,39.8724336865053,-1.1021118636461844,10.07968501270292,139,0
Mass,194.2959318864892,244.71673411216798,388,0.00469,1070,1.1891497311864383,0.6624240465296718,139,0
Temp,18.707913669064748,3.9792225726073727,7.100000000000001,15.9,26.7,1.1415202625366767,-0.5569347796723476,139,0
