Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
masscorr.N.excr,32.68749209978207,49.65269556306015,10.239842104831096,5.366686335403727,257.08077270788914,3.3707545389331917,12.280454422068917,37,0,Season=S
masscorr.P.excr,5.772858955860407,11.689562140014626,4.2091865138773095,0.23005902777777776,72.09778315565032,5.355454350068307,30.774741271523254,37,0,Season=S
masscorr.NP.excr,4.784092023904524,7.699200042238189,2.602935278481205,0.7030596197203977,44.87125450408892,4.401760031227093,21.52916323535334,37,0,Season=S
masscorr.N.excr.t,108.39294400617894,262.19322410446676,32.907405358679014,7.29207576820208,1412.112041151386,4.109525097433679,18.18339407658918,37,0,Season=S
masscorr.P.excr.t,13.28263290439458,26.913976246556807,6.437562254119833,0.838649581870229,117.58419147121536,3.3084656929869722,10.660611572512913,37,0,Season=S
masscorr.NP.excr.t,5.134604499915582,5.044168905035612,3.531363649400478,0.26224274530449576,26.57700923879535,2.556372814505285,8.43725615488237,37,0,Season=S
d15N,11.354943665190477,2.251225548146665,3.515606980000001,6.687422403,13.28049429,-1.1186154908537778,-0.17862943715495497,21,16,Season=S
d13C,-23.99733006047619,0.7544799611241603,0.5300734399999989,-25.89124169,-22.95776897,-1.6149853021393077,1.961041861117527,21,16,Season=S
Mass,314.08471708708106,295.245390097727,525,0.00469,1070,0.7003993626360501,-0.42171893180383424,37,0,Season=S
BodyC,47.832058524761905,2.136292906217984,1.6591113950000036,43.39079031,51.79411588,0.2421871935001899,0.6173719848637672,21,16,Season=S
BodyN,12.538219639047618,1.4157022363882692,2.6672183300000007,10.2791689,13.73628115,-0.36442153443688846,-1.9694589607853163,21,16,Season=S
BodyP,1.2784571734999999,0.12622932184844135,0.24498757299999996,1.098260748,1.416283327,-0.6275579052217635,-1.4072157664930545,6,31,Season=S
BodyCN,4.168611430952381,0.7211089490317563,1.3796361175,3.291141816,5.082159953,0.3168440684166535,-2.0048900463832684,21,16,Season=S
Temp,25.175675675675677,1.3227507965106915,2.6999999999999993,23.3,26.7,-0.5451072503670141,-1.3859946420901672,37,0,Season=S
masscorr.N.excr,12.166142090018829,6.526077975972372,8.295441690774942,3.3479632500000003,40.73775465,1.43136486519194,3.1056352095314397,102,0,Season=F
masscorr.P.excr,3.221086772944304,4.1958708371817774,3.552092962519704,0.20891138715728716,18.6276243,1.9631404347835797,3.3389916382953144,102,0,Season=F
masscorr.NP.excr,5.102396028714551,4.769708260501436,6.189241936511343,0.43780606729883553,18.593047258004642,1.1505217161923251,0.3766771196076283,102,0,Season=F
masscorr.N.excr.t,16.046620117822798,27.540590766439973,21.389842187645836,-76.679808,124.9544432125,-0.06173696654683629,3.681165265650049,102,0,Season=F
masscorr.P.excr.t,2.6354331695147506,3.4124757907661882,2.478416865984962,0.068369863625,14.8815263375,1.8610239994120916,2.6763231438448862,102,0,Season=F
masscorr.NP.excr.t,5.08036280176122,10.72264703203169,7.072876950024023,-51.04726096691539,39.8724336865053,-1.150521946201298,8.096447454171503,102,0,Season=F
d15N,9.2261850928,1.6257874554676504,1.8575196770000009,5.007253815,13.59,0.6880292209219048,0.844445289509983,55,47,Season=F
d13C,-19.134563428545455,2.623947813781177,2.3917306099999998,-26.52134115,-13.5,-0.7199607928509687,1.1226752987609314,55,47,Season=F
Mass,150.84313725490196,208.78421022094784,314.75,1,887,1.273278262566602,0.698634387835227,102,0,Season=F
BodyC,45.96285812309091,3.0139271012715834,4.055926909999997,38.52801778,52.43,-0.29558230600960683,0.17046314581222743,55,47,Season=F
BodyN,12.919240196,1.090410529691019,1.5061579600000012,10.66434507,16.33,0.22365121743828842,0.5741175733874583,55,47,Season=F
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,102,Season=F
BodyCN,3.572696402290909,0.28377573363086045,0.34005810400000014,3.21,4.685108664,1.8552109765760927,4.927317525958856,55,47,Season=F
Temp,16.361764705882354,0.3573954510692076,0.6000000000000014,15.9,16.8,0.20983263411146694,-1.5547697049073823,102,0,Season=F
