Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
masscorr.N.excr,10.373743653638027,8.560607143320603,7.4113752435117,3.3479632500000003,40.73775465,2.866584786598805,9.81046060508151,18,0,Species.code=BB
masscorr.P.excr,1.2560339390559463,0.8126511760516337,0.945116766619613,0.26109520285035626,3.3428294466666664,1.2503560690998385,1.333677527829794,18,0,Species.code=BB
masscorr.NP.excr,4.439249279388084,3.1032284182301137,3.200277489632698,1.9485210410635967,12.235492004744678,1.6670831311375205,2.132522909259402,18,0,Species.code=BB
masscorr.N.excr.t,10.286705479221036,8.029326573969836,13.025199080957444,-2.352859730964467,23.083366253846155,-0.008707771358480446,-1.0920225995349557,18,0,Species.code=BB
masscorr.P.excr.t,0.9394996659394041,0.7417103045053534,0.721633909946851,0.1758112979587629,3.08234992,1.739511750616175,3.154871302199167,18,0,Species.code=BB
masscorr.NP.excr.t,6.513166792997467,6.693891375773623,6.768862831620268,-1.709018261632567,26.508478400831365,1.6787040828186905,3.8681356886896423,18,0,Species.code=BB
d15N,9.2349746906,0.34536396551005216,0.6600000000000001,8.77,9.6,-0.301911142495553,-1.469706356144427,5,13,Species.code=BB
d13C,-15.413343764,1.6376458780177228,3.1400000000000006,-17.54,-13.5,-0.23780979671930547,-1.5683852876165776,5,13,Species.code=BB
Mass,304.3888888888889,166.4332188593049,243.75,6,485,-0.897913315483574,-0.63595487627556,18,0,Species.code=BB
BodyC,44.623791518000004,2.3107624636332895,4.5676036400000015,42.38,47.21520728,0.3085479347113111,-3.000191199126693,5,13,Species.code=BB
BodyN,12.688581244,0.8256964923432274,1.4536971699999999,11.79598679,13.93778469,0.8736846038563854,0.3945021844985437,5,13,Species.code=BB
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,18,Species.code=BB
BodyCN,3.5258543174,0.27658988937763473,0.46206679849999954,3.25,3.97,1.2481224933065234,1.6481598987345656,5,13,Species.code=BB
masscorr.N.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
masscorr.P.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
masscorr.NP.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
masscorr.N.excr.t,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
masscorr.P.excr.t,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
masscorr.NP.excr.t,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
d15N,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
d13C,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
Mass,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
BodyC,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
BodyN,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
BodyCN,NA,NA,NA,Inf,-Inf,NA,NA,0,0,Species.code=DM
masscorr.N.excr,108.85711877209884,91.94876508240215,166.0436283662405,17.156048004158006,257.08077270788914,0.7277078128139035,-0.1263285144694267,6,0,Species.code=GF
masscorr.P.excr,19.28070366821251,26.27600730238268,25.393601720627842,3.2927501871101876,72.09778315565032,2.284601437046821,5.375004913799479,6,0,Species.code=GF
masscorr.NP.excr,3.3337677352144146,1.7779495780301193,3.120632645421829,1.6103268234405432,6.150784383681423,0.9899270454765354,-0.6398756633066768,6,0,Species.code=GF
masscorr.N.excr.t,508.19229933009257,513.7570377312117,860.0013088174978,48.476189688149695,1412.112041151386,1.2669412822000106,1.3118693489329414,6,0,Species.code=GF
masscorr.P.excr.t,30.123831657688598,44.20118234498871,48.46285513773308,1.8895123492723493,117.58419147121536,2.1453271029637557,4.7161331816977805,6,0,Species.code=GF
masscorr.NP.excr.t,11.648026689792324,7.856787549179783,10.034596376573528,4.926789745949734,26.57700923879535,1.7200592383197961,3.5260926673187254,6,0,Species.code=GF
d15N,8.1493068865,1.3157749479896508,2.4540696512499993,6.687422403,9.525791494,-0.0376425045884401,-3.0558166666692923,6,0,Species.code=GF
d13C,-24.796957510000002,0.9794406370251608,1.987148877500001,-25.89124169,-23.65066719,0.0945226670051679,-2.5003186177796133,6,0,Species.code=GF
Mass,0.022422037,0.021118201304282852,0.0427608335,0.00469,0.0504,0.8476199254403467,-1.8740077327752704,6,0,Species.code=GF
BodyC,45.801451105,1.3832912626971072,1.9446735924999956,43.39079031,47.41657726,-1.0314713059248612,1.62889259194803,6,0,Species.code=GF
BodyN,10.864671686666666,0.3016736976556916,0.29826690999999883,10.2791689,11.15522849,-1.8911947550059072,4.317663244706089,6,0,Species.code=GF
BodyP,1.2784571734999999,0.12622932184844135,0.24498757299999996,1.098260748,1.416283327,-0.6275579052217635,-1.4072157664930545,6,0,Species.code=GF
BodyCN,4.919241037833333,0.1098601062718186,0.18553503575000008,4.749969539,5.060423677,-0.5004080571145044,-0.1152922537359502,6,0,Species.code=GF
masscorr.N.excr,12.615044726042802,3.7408922721219806,7.010046459967642,7.852619551401869,17.41837426446281,0.07172976323569101,-0.9876088372081178,5,0,Species.code=GS
masscorr.P.excr,2.0363508177491294,0.5266544977238915,0.8928746280214286,1.5267231404958679,2.878974649406688,1.2495022446418036,1.428279803742095,5,0,Species.code=GS
masscorr.NP.excr,2.986300664763031,1.3579677739828462,2.288830022618238,1.6626336876592958,5.1524486414038275,1.160174183963307,1.5287547471382634,5,0,Species.code=GS
masscorr.N.excr.t,23.694907804334182,9.799618947602259,15.664022314311012,10.263008140186916,37.58828015102481,0.11850811834872203,1.4686859656966682,5,0,Species.code=GS
masscorr.P.excr.t,3.3561674733380658,2.2466829707263303,3.282815569308819,1.765289857142857,7.257986395900756,1.9355763880558372,3.8337069826292556,5,0,Species.code=GS
masscorr.NP.excr.t,3.656518827335761,1.6047285186974725,3.1111034069845545,2.1413263258305943,5.679098204659756,0.4929008299682153,-2.607923338744532,5,0,Species.code=GS
d15N,7.74,NA,0,7.74,7.74,NA,NA,1,4,Species.code=GS
d13C,-16.16,NA,0,-16.16,-16.16,NA,NA,1,4,Species.code=GS
Mass,780,206.8622730224146,379.5,605,1070,0.8241381579311202,-1.7747639486893878,5,0,Species.code=GS
BodyC,48.92521785,NA,0,48.92521785,48.92521785,NA,NA,1,4,Species.code=GS
BodyN,14.55616139,NA,0,14.55616139,14.55616139,NA,NA,1,4,Species.code=GS
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,5,Species.code=GS
BodyCN,3.361134612,NA,0,3.361134612,3.361134612,NA,NA,1,4,Species.code=GS
