Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
masscorr.N.excr,108.85711877209884,91.94876508240215,166.0436283662405,17.156048004158006,257.08077270788914,0.7277078128139035,-0.1263285144694267,6,0,Taxo.rank=Dreissenid | Season=S
masscorr.P.excr,19.28070366821251,26.27600730238268,25.393601720627842,3.2927501871101876,72.09778315565032,2.284601437046821,5.375004913799479,6,0,Taxo.rank=Dreissenid | Season=S
masscorr.NP.excr,3.3337677352144146,1.7779495780301193,3.120632645421829,1.6103268234405432,6.150784383681423,0.9899270454765354,-0.6398756633066768,6,0,Taxo.rank=Dreissenid | Season=S
masscorr.N.excr.t,508.19229933009257,513.7570377312117,860.0013088174978,48.476189688149695,1412.112041151386,1.2669412822000106,1.3118693489329414,6,0,Taxo.rank=Dreissenid | Season=S
masscorr.P.excr.t,30.123831657688598,44.20118234498871,48.46285513773308,1.8895123492723493,117.58419147121536,2.1453271029637557,4.7161331816977805,6,0,Taxo.rank=Dreissenid | Season=S
masscorr.NP.excr.t,11.648026689792324,7.856787549179783,10.034596376573528,4.926789745949734,26.57700923879535,1.7200592383197961,3.5260926673187254,6,0,Taxo.rank=Dreissenid | Season=S
d15N,8.1493068865,1.3157749479896508,2.4540696512499993,6.687422403,9.525791494,-0.0376425045884401,-3.0558166666692923,6,0,Taxo.rank=Dreissenid | Season=S
d13C,-24.796957510000002,0.9794406370251608,1.987148877500001,-25.89124169,-23.65066719,0.0945226670051679,-2.5003186177796133,6,0,Taxo.rank=Dreissenid | Season=S
Mass,0.022422037,0.021118201304282852,0.0427608335,0.00469,0.0504,0.8476199254403467,-1.8740077327752704,6,0,Taxo.rank=Dreissenid | Season=S
BodyC,45.801451105,1.3832912626971072,1.9446735924999956,43.39079031,47.41657726,-1.0314713059248612,1.62889259194803,6,0,Taxo.rank=Dreissenid | Season=S
BodyN,10.864671686666666,0.3016736976556916,0.29826690999999883,10.2791689,11.15522849,-1.8911947550059072,4.317663244706089,6,0,Taxo.rank=Dreissenid | Season=S
BodyP,1.2784571734999999,0.12622932184844135,0.24498757299999996,1.098260748,1.416283327,-0.6275579052217635,-1.4072157664930545,6,0,Taxo.rank=Dreissenid | Season=S
BodyCN,4.919241037833333,0.1098601062718186,0.18553503575000008,4.749969539,5.060423677,-0.5004080571145044,-0.1152922537359502,6,0,Taxo.rank=Dreissenid | Season=S
Temp,24.15,0.9311283477587821,1.6999999999999993,23.3,25,8.540301122932643e-15,-3.3333333333333335,6,0,Taxo.rank=Dreissenid | Season=S
AmTDN,416.59114615,73.4926142413266,134.17854210000002,349.5018751,483.6804172,1.7156745959857193e-15,-3.3333333333333326,6,0,Taxo.rank=Dreissenid | Season=S
AmTDP,12.689203925000001,1.7343526608195985,3.166480250000001,11.1059638,14.27244405,-2.2983795691769843e-15,-3.3333333333333326,6,0,Taxo.rank=Dreissenid | Season=S
masscorr.N.excr,17.944983711591732,12.822777954691004,6.450080896044993,5.366686335403727,66.967875,2.908289623134447,9.14189895237271,31,0,Taxo.rank=Fish | Season=S
