water_year,TP_mt,SRP_mt,TKN_mt
2011,2904.842324128311,599.1727323279246,12125.550298998249
2012,2297.2994230574473,617.1484506299487,8442.873444142673
2013,2210.682176812943,495.85077156657894,9470.568149106886
2014,2249.9314821203984,683.879844360424,9768.014018092015
2015,2154.60446720905,705.5110729960153,10891.546339840637
2016,1264.3038235463869,259.75298238864116,6349.9389863401475
2017,3011.5601982578887,667.6886179845114,11409.110965613001
2018,2469.759965584486,547.610525834767,10570.251018057153
2019,3934.585601879667,850.0315441938234,15468.928230470852
2020,2787.9891947740293,527.5711840254786,8801.233863392874
